date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
04:36:14	48463/48463	---M--	200	added ('OK')	image/jpeg	etag:%2263e018a-bd4f-5c11ea12fd740%22	https://www.greenheartcbd.io/team/resized/mark.jpg	C:/Users/noahm/Documents/websites/greenheart/www.greenheartcbd.io/team/resized/mark.jpg	(from https://www.greenheartcbd.io/)
04:36:14	35377/35377	---M--	200	added ('OK')	image/jpeg	etag:%2263e0191-8a31-5c11fc7ee8d80%22	https://www.greenheartcbd.io/team/resized/shaun.jpg	C:/Users/noahm/Documents/websites/greenheart/www.greenheartcbd.io/team/resized/shaun.jpg	(from https://www.greenheartcbd.io/)
04:36:15	26232/26232	---M--	200	added ('OK')	image/jpeg	etag:%2263e0185-6678-5c11eb64973c0%22	https://www.greenheartcbd.io/team/resized/emil.jpg	C:/Users/noahm/Documents/websites/greenheart/www.greenheartcbd.io/team/resized/emil.jpg	(from https://www.greenheartcbd.io/)
04:36:15	167609/167609	---M--	200	added ('OK')	image/jpeg	etag:%2263e0188-28eb9-5c12f7fb8e280%22	https://www.greenheartcbd.io/team/resized/ken.jpg	C:/Users/noahm/Documents/websites/greenheart/www.greenheartcbd.io/team/resized/ken.jpg	(from https://www.greenheartcbd.io/)
04:36:15	20311/20311	---M--	200	added ('OK')	image/jpeg	etag:%2263e018c-4f57-5c11fb4432700%22	https://www.greenheartcbd.io/team/resized/matias.jpg	C:/Users/noahm/Documents/websites/greenheart/www.greenheartcbd.io/team/resized/matias.jpg	(from https://www.greenheartcbd.io/)
04:36:15	15465/15465	---M--	200	added ('OK')	image/jpeg	etag:%2263e0187-3c69-5c11fad86e8c0%22	https://www.greenheartcbd.io/team/resized/joel.jpg	C:/Users/noahm/Documents/websites/greenheart/www.greenheartcbd.io/team/resized/joel.jpg	(from https://www.greenheartcbd.io/)
04:36:15	36263/36263	---M--	200	added ('OK')	image/jpeg	etag:%2263e018b-8da7-5c11fbae0e0c0%22	https://www.greenheartcbd.io/team/resized/markd.jpg	C:/Users/noahm/Documents/websites/greenheart/www.greenheartcbd.io/team/resized/markd.jpg	(from https://www.greenheartcbd.io/)
04:36:15	11957/11957	---M--	200	added ('OK')	image/jpeg	etag:%2263e0192-2eb5-5c11fa7af8c40%22	https://www.greenheartcbd.io/team/resized/tim.jpg	C:/Users/noahm/Documents/websites/greenheart/www.greenheartcbd.io/team/resized/tim.jpg	(from https://www.greenheartcbd.io/)
04:36:16	18372/18372	---M--	200	added ('OK')	image/jpeg	etag:%2263e0182-47c4-5c11fa0c58740%22	https://www.greenheartcbd.io/team/resized/angiuli.jpg	C:/Users/noahm/Documents/websites/greenheart/www.greenheartcbd.io/team/resized/angiuli.jpg	(from https://www.greenheartcbd.io/)
04:36:16	52508/52508	---M--	200	added ('OK')	image/jpeg	etag:%2263e0189-cd1c-5c11f44902e80%22	https://www.greenheartcbd.io/team/resized/liam.jpg	C:/Users/noahm/Documents/websites/greenheart/www.greenheartcbd.io/team/resized/liam.jpg	(from https://www.greenheartcbd.io/)
04:36:16	35841/35841	---M--	200	added ('OK')	image/jpeg	etag:%2263e0183-8c01-5c11eca6eec40%22	https://www.greenheartcbd.io/team/resized/dave.jpg	C:/Users/noahm/Documents/websites/greenheart/www.greenheartcbd.io/team/resized/dave.jpg	(from https://www.greenheartcbd.io/)
04:36:16	27766/27766	---M--	200	added ('OK')	image/jpeg	etag:%2263e0184-6c76-5c11f2ac12040%22	https://www.greenheartcbd.io/team/resized/diane.jpg	C:/Users/noahm/Documents/websites/greenheart/www.greenheartcbd.io/team/resized/diane.jpg	(from https://www.greenheartcbd.io/)
04:36:16	11668/11668	---M--	200	added ('OK')	image/jpeg	etag:%2263e0186-2d94-5c11fbe375ec0%22	https://www.greenheartcbd.io/team/resized/harry.jpg	C:/Users/noahm/Documents/websites/greenheart/www.greenheartcbd.io/team/resized/harry.jpg	(from https://www.greenheartcbd.io/)
04:36:17	20322/20322	---M--	200	added ('OK')	image/jpeg	etag:%2263e018d-4f62-5c11f5291ff40%22	https://www.greenheartcbd.io/team/resized/nicholas.jpg	C:/Users/noahm/Documents/websites/greenheart/www.greenheartcbd.io/team/resized/nicholas.jpg	(from https://www.greenheartcbd.io/)
04:36:18	76345/76345	---M--	200	added ('OK')	image/png	etag:%2263e00ba-12a39-5c0d93de0e753%22	https://www.greenheartcbd.io/assets/images/featuredin.png	C:/Users/noahm/Documents/websites/greenheart/www.greenheartcbd.io/assets/images/featuredin.png	(from https://www.greenheartcbd.io/)
04:36:18	48950/48950	---M--	200	added ('OK')	application/javascript	etag:%2263e0049-bf36-5c0d93de02402%22	https://www.greenheartcbd.io/assets/bootstrap/js/bootstrap.min.js	C:/Users/noahm/Documents/websites/greenheart/www.greenheartcbd.io/assets/bootstrap/js/bootstrap.min.js	(from https://www.greenheartcbd.io/)
04:36:18	97168/97168	---M--	200	added ('OK')	application/javascript	etag:%2263e0028-17b90-5c0d93ddffcf2%22	https://www.greenheartcbd.io/assets/js/jquery-1.12.4.min.js	C:/Users/noahm/Documents/websites/greenheart/www.greenheartcbd.io/assets/js/jquery-1.12.4.min.js	(from https://www.greenheartcbd.io/)
04:36:18	332271/332271	---M--	200	added ('OK')	image/jpeg	etag:%2263e00a5-511ef-5c0d93de0cbfb%22	https://www.greenheartcbd.io/assets/images/appsoon2.jpg	C:/Users/noahm/Documents/websites/greenheart/www.greenheartcbd.io/assets/images/appsoon2.jpg	(from https://www.greenheartcbd.io/)
04:36:19	42860/42860	---M--	200	added ('OK')	application/javascript	etag:%2263e0038-a76c-5c0d93de01462%22	https://www.greenheartcbd.io/assets/owlcarousel/js/owl.carousel.min.js	C:/Users/noahm/Documents/websites/greenheart/www.greenheartcbd.io/assets/owlcarousel/js/owl.carousel.min.js	(from https://www.greenheartcbd.io/)
04:36:19	20224/20224	---M--	200	added ('OK')	application/javascript	etag:%2263e002d-4f00-5c0d93de004c2%22	https://www.greenheartcbd.io/assets/js/magnific-popup.min.js	C:/Users/noahm/Documents/websites/greenheart/www.greenheartcbd.io/assets/js/magnific-popup.min.js	(from https://www.greenheartcbd.io/)
04:36:19	8051/8051	---M--	200	added ('OK')	application/javascript	etag:%2263e0034-1f73-5c0d93de008aa%22	https://www.greenheartcbd.io/assets/js/waypoints.min.js	C:/Users/noahm/Documents/websites/greenheart/www.greenheartcbd.io/assets/js/waypoints.min.js	(from https://www.greenheartcbd.io/)
04:36:19	6670/6670	---M--	200	added ('OK')	application/javascript	etag:%2263e002c-1a0e-5c0d93de000da%22	https://www.greenheartcbd.io/assets/js/parallax.js	C:/Users/noahm/Documents/websites/greenheart/www.greenheartcbd.io/assets/js/parallax.js	(from https://www.greenheartcbd.io/)
04:36:19	5360/5360	---M--	200	added ('OK')	application/javascript	etag:%2263e0025-14f0-5c0d93ddff90a%22	https://www.greenheartcbd.io/assets/js/jquery.countdown.min.js	C:/Users/noahm/Documents/websites/greenheart/www.greenheartcbd.io/assets/js/jquery.countdown.min.js	(from https://www.greenheartcbd.io/)
04:36:19	17972/17972	---M--	200	added ('OK')	application/javascript	etag:%2263e002b-4634-5c0d93de000da%22	https://www.greenheartcbd.io/assets/js/jquery.dd.min.js	C:/Users/noahm/Documents/websites/greenheart/www.greenheartcbd.io/assets/js/jquery.dd.min.js	(from https://www.greenheartcbd.io/)
